📺全网,#genre#
CCTV1,http://183.164.58.130:8888/rtp/238.1.78.166:7200
CCTV2,http://183.164.58.130:8888/rtp/238.1.78.235:7752
CCTV3,http://183.164.58.130:8888/rtp/238.1.78.170:7232
CCTV4,http://183.164.58.130:8888/rtp/238.1.78.236:7760
CCTV5,http://183.164.58.130:8888/rtp/238.1.78.171:7240
CCTV5+,http://183.164.58.130:8888/rtp/238.1.78.237:7768
五星体育,http://222.70.83.21:9009/udp/239.45.3.210:5140
五星体育,http://61.173.95.181:4022/udp/239.45.3.210:5140
CCTV6,http://183.164.58.130:8888/rtp/238.1.78.172:7248
CCTV7,http://183.164.58.130:8888/rtp/238.1.78.239:7784
CCTV8,http://183.164.58.130:8888/rtp/238.1.78.173:7256
CCTV9,http://183.164.58.130:8888/rtp/238.1.78.240:7792
CCTV10,http://183.164.58.130:8888/rtp/238.1.78.241:7800
CCTV11,http://183.164.58.130:8888/rtp/238.1.78.206:7502
CCTV12,http://183.164.58.130:8888/rtp/238.1.78.242:7808
CCTV13,http://183.164.58.130:8888/rtp/238.1.79.35:4392
CCTV14,http://183.164.58.130:8888/rtp/238.1.78.243:7816
CCTV15,http://183.164.58.130:8888/rtp/238.1.78.222:7648
CCTV17,http://183.164.58.130:8888/rtp/238.1.78.178:7296
CCTV风云足球,http://183.164.58.130:8888/rtp/238.1.79.57:4592
CCTV世界地理,http://183.164.58.130:8888/rtp/238.1.79.60:4616
CCTV兵器科技,http://183.164.58.130:8888/rtp/238.1.79.56:4584
CCTV风云剧场,http://183.164.58.130:8888/rtp/238.1.79.62:4632
CCTV文化精品,http://183.164.58.130:8888/rtp/238.1.79.54:4568
CCTV怀旧剧场,http://183.164.58.130:8888/rtp/238.1.79.61:4624
CCTV风云音乐,http://183.164.58.130:8888/rtp/238.1.79.64:4648
CCTV第一剧场,http://183.164.58.130:8888/rtp/238.1.79.63:4640
CCTV央视台球,http://183.164.58.130:8888/rtp/238.1.79.59:4608
江苏卫视,http://183.164.58.130:8888/rtp/238.1.78.165:7192
北京卫视,http://183.164.58.130:8888/rtp/238.1.78.162:7168
天津卫视,http://183.164.58.130:8888/rtp/238.1.78.20:6088
重庆卫视,http://183.164.58.130:8888/rtp/238.1.78.31:6176
东方卫视,http://183.164.58.130:8888/rtp/238.1.78.163:7176
安徽卫视,http://183.164.58.130:8888/rtp/238.1.79.27:4328
安徽卫视,http://183.164.58.130:8888/rtp/238.1.78.150:7072
浙江卫视,http://183.164.58.130:8888/rtp/238.1.78.164:7184
深圳卫视,http://183.164.58.130:8888/rtp/238.1.78.156:7120
黑龙江卫视,http://183.164.58.130:8888/rtp/238.1.78.159:7144
吉林卫视,http://183.164.58.130:8888/rtp/238.1.79.48:4496
辽宁卫视,http://183.164.58.130:8888/rtp/238.1.78.21:6096
东南卫视,http://183.164.58.130:8888/rtp/238.1.78.22:6104
四川卫视,http://183.164.58.130:8888/rtp/238.1.78.30:6168
江西卫视,http://183.164.58.130:8888/rtp/238.1.78.26:6136
广东卫视,http://183.164.58.130:8888/rtp/238.1.78.161:7160
广西卫视,http://183.164.58.130:8888/rtp/238.1.78.70:6432
海南卫视,http://183.164.58.130:8888/rtp/238.1.79.49:4504
湖北卫视,http://183.164.58.130:8888/rtp/238.1.78.168:7216
湖南卫视,http://183.164.58.130:8888/rtp/238.1.78.160:7152
贵州卫视,http://183.164.58.130:8888/rtp/238.1.78.244:7824
河北卫视,http://183.164.58.130:8888/rtp/238.1.78.245:7832
河南卫视,http://183.164.58.130:8888/rtp/238.1.79.65:4632
山东卫视,http://183.164.58.130:8888/rtp/238.1.78.169:7224
陕西卫视,http://183.164.58.130:8888/rtp/238.1.78.88:6576
山西卫视,http://183.164.58.130:8888/rtp/238.1.78.95:6632
宁夏卫视,http://183.164.58.130:8888/rtp/238.1.78.109:6744
甘肃卫视,http://183.164.58.130:8888/rtp/238.1.79.36:4400
云南卫视,http://183.164.58.130:8888/rtp/238.1.78.89:6584
内蒙卫视,http://183.164.58.130:8888/rtp/238.1.78.103:6696
青海卫视,http://183.164.58.130:8888/rtp/238.1.78.102:6688
新疆卫视,http://183.164.58.130:8888/rtp/238.1.78.110:6752
快乐垂钓,http://183.164.58.130:8888/rtp/238.1.79.31:4360
全纪实,http://183.164.58.130:8888/rtp/238.1.78.151:7080
动漫秀场,http://183.164.58.130:8888/rtp/238.1.78.154:7104
金鹰纪实,http://183.164.58.130:8888/rtp/238.1.79.9:4184
金鹰卡通,http://183.164.58.130:8888/rtp/238.1.78.100:6672

CCTV1,http://59.175.18.114:8888/rtp/239.254.96.96:8550
CCTV2,http://59.175.18.114:8888/rtp/239.69.1.102:10250
CCTV3,http://59.175.18.114:8888/rtp/239.69.1.122:10370
CCTV4,http://59.175.18.114:8888/rtp/239.69.1.138:10466
CCTV5,http://59.175.18.114:8888/rtp/239.69.1.123:10376
CCTV5+,http://59.175.18.114:8888/rtp/239.254.96.234:9484
CCTV5+,http://59.175.18.114:8888/rtp/239.69.1.12:9712
CCTV6,http://59.175.18.114:8888/rtp/239.69.1.124:10382
CCTV7,http://59.175.18.114:8888/rtp/239.69.1.103:10256
CCTV8,http://59.175.18.114:8888/rtp/239.69.1.125:10388
CCTV9,http://59.175.18.114:8888/rtp/239.69.1.104:10262
CCTV10,http://59.175.18.114:8888/rtp/239.69.1.105:10268
CCTV11,http://59.175.18.114:8888/rtp/239.69.1.154:10560
CCTV12,http://59.175.18.114:8888/rtp/239.69.1.106:10274
CCTV13,http://59.175.18.114:8888/rtp/239.254.96.161:9040
CCTV14,http://59.175.18.114:8888/rtp/239.69.1.107:10280
CCTV15,http://59.175.18.114:8888/rtp/239.69.1.155:10566
CCTV16,http://59.175.18.114:8888/rtp/239.69.1.247:11124
CCTV17,http://59.175.18.114:8888/rtp/239.69.1.152:10548
CCTV风云足球,http://59.175.18.114:8888/rtp/239.69.1.81:10126
CCTV世界地理,http://59.175.18.114:8888/rtp/239.69.1.91:10186
CCTV兵器科技,http://59.175.18.114:8888/rtp/239.69.1.79:10114
CCTV第一剧场,http://59.175.18.114:8888/rtp/239.69.1.74:10084
CCTV央视台球,http://59.175.18.114:8888/rtp/239.69.1.98:10224
CHC-高清电影,http://59.175.18.114:8888/rtp/239.69.1.241:11088
