央视频道,#genre#
parse=1
CCTV4K超高清,https://www.yangshipin.cn/#/tv/home?pid=600002264
CCTV1綜合,https://www.yangshipin.cn/#/tv/home?pid=600001859
CCTV2財經,https://www.yangshipin.cn/#/tv/home?pid=600001800
CCTV4中文國際,https://www.yangshipin.cn/#/tv/home?pid=600001814
CCTV7國防軍事,https://www.yangshipin.cn/#/tv/home?pid=600004092
CCTV9紀錄,https://www.yangshipin.cn/#/tv/home?pid=600004078
CCTV10科教,https://www.yangshipin.cn/#/tv/home?pid=600001805
CCTV11戲曲,https://www.yangshipin.cn/#/tv/home?pid=600001806
CCTV12社會與法,https://www.yangshipin.cn/#/tv/home?pid=600001807
CCTV13新聞,https://www.yangshipin.cn/#/tv/home?pid=600001811
CCTV14少兒,https://www.yangshipin.cn/#/tv/home?pid=600001809
CCTV15音樂,https://www.yangshipin.cn/#/tv/home?pid=600001815
CCTV17農業農村,https://www.yangshipin.cn/#/tv/home?pid=600001810
卫视频道,#genre#
parse=1
江蘇衛視,https://www.yangshipin.cn/#/tv/home?pid=600002521
浙江衛視,https://www.yangshipin.cn/#/tv/home?pid=600002520
湖南衛視,https://www.yangshipin.cn/#/tv/home?pid=600002475
北京衛視,https://www.yangshipin.cn/#/tv/home?pid=600002309
東方衛視,https://www.yangshipin.cn/#/tv/home?pid=600002483
山東衛視,https://www.yangshipin.cn/#/tv/home?pid=600002513
四川衛視,https://www.yangshipin.cn/#/tv/home?pid=600002516
安徽衛視,https://www.yangshipin.cn/#/tv/home?pid=600002532
江西衛視,https://www.yangshipin.cn/#/tv/home?pid=600002503
東南衛視,https://www.yangshipin.cn/#/tv/home?pid=600002484
河北衛視,https://www.yangshipin.cn/#/tv/home?pid=600002493
河南衛視,https://www.yangshipin.cn/#/tv/home?pid=600002525
重慶衛視,https://www.yangshipin.cn/#/tv/home?pid=600002531
海南衛視,https://www.yangshipin.cn/#/tv/home?pid=600002506
深圳衛視,https://www.yangshipin.cn/#/tv/home?pid=600002481
湖北衛視,https://www.yangshipin.cn/#/tv/home?pid=600002508
貴州衛視,https://www.yangshipin.cn/#/tv/home?pid=600002490
廣西衛視,https://www.yangshipin.cn/#/tv/home?pid=600002509
廣東衛視,https://www.yangshipin.cn/#/tv/home?pid=600002485
遼寧衛視,https://www.yangshipin.cn/#/tv/home?pid=600002505
黑龍江衛視,https://www.yangshipin.cn/#/tv/home?pid=600002498
